순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,이용구분,시설구분1,시설구분2,위도,경도,비고,X좌표,Y좌표
1,코스모타워.서울신용보증재단성동지점(상왕십리역)스마트쉼터,Y,서울특별시 성동구 왕십리로 357-1  (하왕십리동),서울특별시 성동구 하왕십리동 960-3,,16.5,5,누구나,공공시설,스마트쉼터,37.5630218,127.0328414,,202901.57299,551499.270688
2,상왕십리역(왕십리2동주민센터)스마트쉼터,Y,,서울특별시 성동구 하왕십리동 903-1,,16.5,5,누구나,공공시설,스마트쉼터,37.5643591,127.0290408,,202565.740023,551647.584715
3,왕십리제2동주민센터,Y,서울특별시 성동구 무학봉15길 6 (하왕십리동),서울특별시 성동구 하왕십리동 973-9,,40.49,25,누구나,공공시설,공공청사,37.5617588,127.0309773,,202736.923949,551359.036653
4,청계벽산아파트.텐즈힐아파트(상왕십리역.센트라스아파트방면)스마트쉼터,N,,서울특별시 성동구 하왕십리동 259-12,,5.95,5,누구나,공공시설,스마트쉼터,37.5679628,127.0300439,,202654.235537,552047.581064
5,왕십리센트라스아파트(성동고등학교)스마트쉼터,Y,,서울특별시 성동구 하왕십리동 860-1,,16.5,5,누구나,공공시설,스마트쉼터,37.5647142,127.0287162,,202537.049734,551686.987832
6,상왕십리역(왕십리센트라스아파트)스마트쉼터,Y,,서울특별시 성동구 하왕십리동 860-1,,16.5,5,누구나,공공시설,스마트쉼터,37.5647142,127.0287189,,202537.288276,551686.987905
7,왕십리도선동주민센터,Y,서울특별시 성동구 마장로 141,서울특별시 성동구 상왕십리동 813,,38.88,10,누구나,공공시설,공공청사,37.5678526,127.025458,,202249.096409,552035.23051
8,성동구도시관리공단스마트쉼터,N,서울특별시 성동구 청계천로 546  (마장동),서울특별시 성동구 마장동 527-10,,5.95,5,누구나,공공시설,스마트쉼터,37.5718362,127.0368326,,203253.816376,552477.696783
9,성동노인복지관스마트쉼터,N,서울특별시 성동구 마조로 77  (마장동),서울특별시 성동구 마장동 798-1,,5.95,5,누구나,특정계층이용시설,회원이용시설,37.5649501,127.0415801,,203673.551871,551713.595015
10,성동사회복지관.청계천박물관스마트쉼터,N,,서울특별시 성동구 마장동 527-17,,5.95,5,누구나,공공시설,스마트쉼터,37.5718596,127.0368513,,203255.467328,552480.294559
11,마장역스마트쉼터,N,,서울특별시 성동구 마장동 809-2,,5.95,5,누구나,공공시설,스마트쉼터,37.565605,127.0424116,,203746.981098,551786.314063
12,마장축산물시장(도선사거리)스마트쉼터,Y,서울특별시 성동구 고산자로 344-1  (마장동),서울특별시 성동구 마장동 474-28,,16.5,5,누구나,공공시설,스마트쉼터,37.5702886,127.0375139,,203314.071447,552305.954974
13,마장축산물시장(동대문구청.용두역3번출구)스마트쉼터,Y,서울특별시 성동구 고산자로 344-1  (마장동),서울특별시 성동구 마장동 474-28,,16.5,5,누구나,공공시설,스마트쉼터,37.5709837,127.0380101,,203357.875787,552383.120608
14,마장동주민센터,Y,서울특별시 성동구 마장로42길 11,서울특별시 성동구 마장동 780-2,,866,12,누구나,공공시설,공공청사,37.5663242,127.045289,,204001.155251,551866.255455
15,한양대정문앞(서울숲삼부아파트)스마트쉼터,Y,,서울특별시 성동구 행당동 33,,16.5,5,누구나,공공시설,스마트쉼터,37.5568855,127.0431948,,203816.620038,550818.583978
16,사근동주민센터,Y,서울특별시 성동구 사근동길 37,서울특별시 성동구 사근동 223-22,,200,12,누구나,공공시설,공공청사,37.561498,127.045311,,204003.35714,551330.604901
17,왕십리광장.왕십리역4번출구(무학여고)스마트쉼터,Y,,서울특별시 성동구 행당동 192-41,,16.5,5,누구나,공공시설,스마트쉼터,37.5614101,127.0370713,,203275.359771,551320.529981
18,성동구청(성동교육청앞)스마트쉼터,Y,서울특별시 성동구 고산자로 280  (행당동),서울특별시 성동구 행당동 7,,16.5,5,누구나,공공시설,스마트쉼터,37.5640466,127.0364222,,203217.89645,551613.128013
19,왕십리광장.왕십리역7번출구(왕십리민자역사방면)스마트쉼터,Y,,서울특별시 성동구 행당동 188-1,,16.5,5,누구나,공공시설,스마트쉼터,37.5611061,127.0366234,,203235.799618,551286.774055
20,응봉사거리(무학여고앞)스마트쉼터,Y,"서울특별시 성동구 고산자로 164  (행당동, 서울숲한신더휴)",서울특별시 성동구 행당동 349,,16.5,5,누구나,공공시설,스마트쉼터,37.5553417,127.0344695,,203045.729978,550646.922054
21,행당1동주민센터,Y,서울특별시 성동구  고산자로10길  18   (행당동),서울특별시 성동구 행당동 139,,"1,605.00",7,누구나,공공시설,공공청사,37.5585157,127.036117,,203191.167962,550999.252988
22,성동구청(책마루),Y,서울특별시 성동구 고산자로 270,서울특별시 성동구 행당동 7,,703,50,누구나,공공시설,공공청사,37.563319,127.036734,"평일, 주말, 공휴일 09:00 ~ 21:00",203245.475503,551532.383689
23,한양대앞.한양시장스마트쉼터,N,,서울특별시 성동구 행당동 23-1,,5.95,5,누구나,공공시설,스마트쉼터,37.5585503,127.0409873,,203621.488462,551003.269677
24,논골신협대림아파트후문스마트쉼터,N,"서울특별시 성동구 행당로 79  (행당동, 행당동 대림아파트)",서울특별시 성동구 행당동 347,,5.95,5,누구나,공공시설,스마트쉼터,37.5576042,127.0247573,,202187.492434,550897.762283
25,행당역(행당2동주민센터)스마트쉼터,Y,,서울특별시 성동구 행당동 346-14,,16.5,5,누구나,공공시설,스마트쉼터,37.5569429,127.0289281,,202556.036373,550824.47108
26,행당역(대림아파트후문)스마트쉼터,Y,,서울특별시 성동구 행당동 347-13,,16.5,5,누구나,공공시설,스마트쉼터,37.557147,127.0287564,,202540.858331,550847.119099
27,무학여고(행당신동아.행당푸르지오아파트)스마트쉼터,Y,,서울특별시 성동구 행당동 320-18,,16.5,5,누구나,공공시설,스마트쉼터,37.5578891,127.033866,,202992.302765,550929.633778
28,행당2동주민센터,Y,서울특별시 성동구 행당로9길 9,서울특별시 성동구 행당동 347-1,,64.8,7,누구나,공공시설,공공청사,37.5582382,127.02936,,202594.153398,550968.245832
29,광희중학교.응봉역스마트쉼터,N,,서울특별시 성동구 응봉동 59,,5.95,5,누구나,공공시설,스마트쉼터,37.5518374,127.0350194,,203094.464113,550258.004583
30,응봉현대아파트(삼성래미안아파트앞)스마트쉼터,Y,서울특별시 성동구 독서당로 381-1  (응봉동),서울특별시 성동구 응봉동 산 3-12,,16.5,5,누구나,공공시설,스마트쉼터,37.5502553,127.0310551,,202744.219589,550082.287357
